Max Iterations,Max No Improvement,Random Percentage,Mode,Instance,Best Fitnes,Average Fitnes,Worst Fitnes,Best Time,Average Time,Worst Time
1,10,10,0,Instance1.txt,60.0,56.0,50.0,0.04,0.07,0.1
1,10,10,0,Instance2.txt,75.0,68.0,60.0,0.04,0.06,0.07
1,10,10,0,Instance3.txt,160.0,141.0,120.0,0.27,0.39,0.52
1,10,10,0,Instance4.txt,165.0,158.5,140.0,0.27,0.34,0.45
1,10,10,0,Instance5.txt,330.0,286.0,240.0,1.1,1.64,2.33
1,10,10,0,Instance6.txt,330.0,302.0,270.0,1.12,1.55,2.11
1,10,10,0,Instance7.txt,660.0,539.0,490.0,4.5,7.44,9.28
1,10,10,0,Instance8.txt,660.0,603.5,535.0,4.51,6.61,9.35
1,10,10,0,Instance9.txt,1660.0,1422.0,1220.0,28.44,44.57,61.0
1,10,10,0,Instance10.txt,1660.0,1482.0,1340.0,28.82,46.87,74.04
2,10,10,0,Instance1.txt,60.0,52.5,50.0,0.09,0.16,0.21
2,10,10,0,Instance2.txt,75.0,67.0,60.0,0.09,0.11,0.14
2,10,10,0,Instance3.txt,160.0,150.0,120.0,0.56,0.72,1.04
2,10,10,0,Instance4.txt,165.0,155.5,140.0,0.56,0.7,0.91
2,10,10,0,Instance5.txt,330.0,304.0,250.0,2.21,2.76,4.33
2,10,10,0,Instance6.txt,330.0,308.0,270.0,2.19,2.89,4.06
2,10,10,0,Instance7.txt,660.0,574.0,490.0,8.82,13.27,18.43
2,10,10,0,Instance8.txt,660.0,609.0,535.0,8.89,12.24,16.84
2,10,10,0,Instance9.txt,1660.0,1355.0,1230.0,57.71,96.08,119.35
2,10,10,0,Instance10.txt,1660.0,1513.5,1340.0,56.05,80.01,107.37
3,10,10,0,Instance1.txt,60.0,57.0,50.0,0.13,0.18,0.27
3,10,10,0,Instance2.txt,75.0,68.5,60.0,0.13,0.16,0.19
3,10,10,0,Instance3.txt,160.0,145.0,120.0,0.8,1.09,1.52
3,10,10,0,Instance4.txt,165.0,151.5,140.0,0.81,1.11,1.34
3,10,10,0,Instance5.txt,330.0,286.0,240.0,3.25,4.71,6.68
3,10,10,0,Instance6.txt,330.0,298.0,270.0,3.5,4.8,6.07
3,10,10,0,Instance7.txt,660.0,591.0,490.0,13.53,18.79,28.01
3,10,10,0,Instance8.txt,660.0,607.0,535.0,13.18,18.34,25.09
3,10,10,0,Instance9.txt,1660.0,1506.0,1230.0,83.1,106.45,169.45
3,10,10,0,Instance10.txt,1660.0,1452.0,1345.0,83.27,129.43,153.32
4,10,10,0,Instance1.txt,60.0,56.0,50.0,0.17,0.24,0.38
4,10,10,0,Instance2.txt,75.0,68.0,60.0,0.18,0.21,0.26
4,10,10,0,Instance3.txt,160.0,135.5,120.0,1.08,1.69,2.05
4,10,10,0,Instance4.txt,165.0,155.5,140.0,1.08,1.35,1.76
4,10,10,0,Instance5.txt,330.0,295.0,250.0,4.3,5.61,8.66
4,10,10,0,Instance6.txt,310.0,294.0,270.0,5.46,6.38,7.76
4,10,10,0,Instance7.txt,660.0,582.0,490.0,17.39,24.77,36.21
4,10,10,0,Instance8.txt,660.0,609.0,535.0,17.34,23.74,32.55
4,10,10,0,Instance9.txt,1660.0,1420.5,1230.0,111.31,169.72,228.8
4,10,10,0,Instance10.txt,1660.0,1462.0,1340.0,111.38,169.61,204.09
