Max Iterations,Max No Improvement,Random Percentage,Mode,Instance,Best Fitnes,Average Fitnes,Worst Fitnes,Best Time,Average Time,Worst Time
2,8,10,0,Instance1.txt,60.0,54.5,50.0,0.09,0.16,0.28
2,8,10,0,Instance2.txt,75.0,68.0,60.0,0.09,0.1,0.12
2,8,10,0,Instance3.txt,160.0,138.5,120.0,0.54,0.81,1.07
2,8,10,0,Instance4.txt,165.0,159.0,140.0,0.54,0.7,0.88
2,8,10,0,Instance5.txt,330.0,286.0,240.0,2.17,3.13,4.41
2,8,10,0,Instance6.txt,330.0,298.0,270.0,2.16,3.12,3.99
2,8,10,0,Instance7.txt,660.0,589.0,490.0,8.79,11.75,19.38
2,8,10,0,Instance8.txt,660.0,591.0,535.0,8.76,13.05,16.48
2,8,10,0,Instance9.txt,1660.0,1380.0,1230.0,56.45,95.42,123.83
2,8,10,0,Instance10.txt,1560.0,1452.5,1340.0,71.67,88.22,105.47
2,10,10,0,Instance1.txt,60.0,55.0,50.0,0.09,0.15,0.24
2,10,10,0,Instance2.txt,75.0,67.5,60.0,0.09,0.13,0.19
2,10,10,0,Instance3.txt,160.0,138.0,120.0,0.62,0.85,1.08
2,10,10,0,Instance4.txt,165.0,157.0,140.0,0.54,0.73,0.96
2,10,10,0,Instance5.txt,330.0,282.5,240.0,2.15,3.31,4.37
2,10,10,0,Instance6.txt,330.0,298.0,270.0,2.37,3.13,3.95
2,10,10,0,Instance7.txt,660.0,557.0,490.0,8.69,13.89,19.16
2,10,10,0,Instance8.txt,660.0,625.0,535.0,8.71,10.97,16.13
2,10,10,0,Instance9.txt,1660.0,1441.0,1230.0,55.71,81.21,114.66
2,10,10,0,Instance10.txt,1660.0,1398.0,1340.0,55.72,94.9,104.71
2,12,10,0,Instance1.txt,60.0,57.0,50.0,0.09,0.14,0.25
2,12,10,0,Instance2.txt,75.0,70.0,60.0,0.1,0.15,0.18
2,12,10,0,Instance3.txt,160.0,139.5,120.0,0.54,0.84,1.12
2,12,10,0,Instance4.txt,165.0,155.0,140.0,0.6,0.71,0.88
2,12,10,0,Instance5.txt,330.0,286.0,240.0,2.18,3.35,5.03
2,12,10,0,Instance6.txt,330.0,300.0,270.0,2.17,3.24,4.21
2,12,10,0,Instance7.txt,660.0,564.0,490.0,8.75,13.1,18.13
2,12,10,0,Instance8.txt,660.0,612.5,535.0,8.74,11.83,16.39
2,12,10,0,Instance9.txt,1660.0,1376.5,1230.0,58.17,90.71,121.8
2,12,10,0,Instance10.txt,1660.0,1513.0,1340.0,56.39,81.46,110.06
2,14,10,0,Instance1.txt,60.0,55.5,50.0,0.09,0.16,0.23
2,14,10,0,Instance2.txt,75.0,64.5,60.0,0.1,0.15,0.21
2,14,10,0,Instance3.txt,160.0,145.0,120.0,0.54,0.76,1.11
2,14,10,0,Instance4.txt,165.0,154.0,140.0,0.55,0.76,0.91
2,14,10,0,Instance5.txt,330.0,281.5,240.0,2.16,3.26,4.36
2,14,10,0,Instance6.txt,330.0,308.0,270.0,2.16,2.85,3.96
2,14,10,0,Instance7.txt,660.0,582.0,490.0,8.73,12.54,18.19
2,14,10,0,Instance8.txt,660.0,633.5,535.0,8.72,10.49,16.24
2,14,10,0,Instance9.txt,1660.0,1506.5,1230.0,55.68,73.55,114.77
2,14,10,0,Instance10.txt,1660.0,1449.5,1340.0,55.71,86.82,102.73
