Max Iterations,Max No Improvement,Random Percentage,Mode,Instance,Best Fitnes,Average Fitnes,Worst Fitnes,Best Time,Average Time,Worst Time
2,10,5,0,Instance1.txt,60.0,55.5,50.0,0.09,0.16,0.23
2,10,5,0,Instance2.txt,75.0,67.0,60.0,0.09,0.14,0.18
2,10,5,0,Instance3.txt,160.0,151.0,145.0,0.54,0.69,0.83
2,10,5,0,Instance4.txt,165.0,150.5,140.0,0.53,0.76,1.04
2,10,5,0,Instance5.txt,330.0,276.0,240.0,2.21,3.3,4.4
2,10,5,0,Instance6.txt,310.0,286.0,270.0,2.73,3.45,3.98
2,10,5,0,Instance7.txt,660.0,558.0,490.0,8.62,14.42,18.56
2,10,5,0,Instance8.txt,660.0,582.0,535.0,8.63,13.47,16.61
2,10,5,0,Instance9.txt,1660.0,1415.5,1220.0,55.35,86.48,118.73
2,10,5,0,Instance10.txt,1660.0,1485.0,1335.0,55.61,81.87,107.14
2,10,7,0,Instance1.txt,60.0,57.5,50.0,0.09,0.13,0.24
2,10,7,0,Instance2.txt,75.0,66.5,60.0,0.09,0.12,0.21
2,10,7,0,Instance3.txt,160.0,140.5,120.0,0.54,0.81,1.1
2,10,7,0,Instance4.txt,165.0,155.5,140.0,0.54,0.69,0.94
2,10,7,0,Instance5.txt,330.0,294.0,240.0,2.15,2.86,4.46
2,10,7,0,Instance6.txt,330.0,308.0,270.0,2.15,2.81,3.93
2,10,7,0,Instance7.txt,660.0,624.0,570.0,8.65,9.93,11.97
2,10,7,0,Instance8.txt,660.0,612.0,540.0,8.74,11.6,16.01
2,10,7,0,Instance9.txt,1660.0,1312.0,1220.0,59.82,102.81,124.13
2,10,7,0,Instance10.txt,1660.0,1585.0,1335.0,55.3,66.53,103.18
2,10,10,0,Instance1.txt,60.0,55.5,50.0,0.09,0.17,0.28
2,10,10,0,Instance2.txt,75.0,70.0,60.0,0.09,0.15,0.2
2,10,10,0,Instance3.txt,160.0,139.5,120.0,0.53,0.79,1.08
2,10,10,0,Instance4.txt,165.0,158.0,140.0,0.54,0.68,0.95
2,10,10,0,Instance5.txt,330.0,272.5,240.0,2.15,3.47,4.46
2,10,10,0,Instance6.txt,330.0,308.0,270.0,2.15,2.85,3.94
2,10,10,0,Instance7.txt,660.0,548.0,490.0,8.62,13.99,17.83
2,10,10,0,Instance8.txt,660.0,588.0,535.0,8.63,13.0,16.03
2,10,10,0,Instance9.txt,1660.0,1571.0,1435.0,55.02,63.06,75.33
2,10,10,0,Instance10.txt,1660.0,1461.0,1340.0,55.32,84.13,101.53
